Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;1;1996;100;24;24;0;0;100;1871;125;33;33;57;2;2;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;2;2096;100;24;24;0;0;100;1931;165;71;24;66;4;4;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;Totalt i retning Fylkeshuset;1996;100;24;24;0;0;100;1871;125;33;33;57;2;2;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;Totalt i retning Langnestunnelen;2096;100;24;24;0;0;100;1931;165;71;24;66;4;4;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;Totalt;4092;100;24;24;0;0;100;3802;290;104;57;123;6;6;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;1;2245;100;24;24;0;0;100;2127;118;30;34;50;4;4;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;2;2265;100;24;24;0;0;100;2105;160;63;32;62;3;3;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;Totalt i retning Fylkeshuset;2245;100;24;24;0;0;100;2127;118;30;34;50;4;4;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;Totalt i retning Langnestunnelen;2265;100;24;24;0;0;100;2105;160;63;32;62;3;3;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;Totalt;4510;100;24;24;0;0;100;4232;278;93;66;112;7;7;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;1;5454;100;24;24;0;0;100;5091;363;92;160;101;10;10;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;2;5214;100;24;24;0;0;100;4713;501;200;154;135;12;12;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;Totalt i retning Fylkeshuset;5454;100;24;24;0;0;100;5091;363;92;160;101;10;10;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;Totalt i retning Langnestunnelen;5214;100;24;24;0;0;100;4713;501;200;154;135;12;12;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;Totalt;10668;100;24;24;0;0;100;9804;864;292;314;236;22;22;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;1;5791;100;24;24;0;0;100;5399;392;76;202;104;10;10;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;2;5550;100;24;24;0;1;99,98;4993;556;191;225;130;10;10;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;Totalt i retning Fylkeshuset;5791;100;24;24;0;0;100;5399;392;76;202;104;10;10;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;Totalt i retning Langnestunnelen;5550;100;24;24;0;1;99,98;4993;556;191;225;130;10;10;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;Totalt;11341;100;24;24;0;1;99,99;10392;948;267;427;234;20;20;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;05.01.2022;1;5691;100;24;24;0;0;100;5325;366;100;157;102;7;7;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;05.01.2022;2;5563;100;24;24;0;0;100;5010;553;224;188;134;7;7;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;05.01.2022;Totalt i retning Fylkeshuset;5692;100;24;24;0;0;100;5326;366;100;157;102;7;7;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;05.01.2022;Totalt i retning Langnestunnelen;5562;100;24;24;0;0;100;5009;553;224;188;134;7;7;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;05.01.2022;Totalt;11254;100;24;24;0;0;100;10335;919;324;345;236;14;14;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;1;5753;100;24;24;0;0;100;5355;398;110;171;106;11;11;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;2;5577;100;24;24;0;1;99,98;5047;529;218;166;132;13;13;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;Totalt i retning Fylkeshuset;5753;100;24;24;0;0;100;5355;398;110;171;106;11;11;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;Totalt i retning Langnestunnelen;5577;100;24;24;0;1;99,98;5047;529;218;166;132;13;13;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;Totalt;11330;100;24;24;0;1;99,99;10402;927;328;337;238;24;24;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;1;5588;100;24;24;0;0;100;5260;328;69;142;106;11;11;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;2;5406;100;24;24;0;0;100;4940;466;207;122;129;8;8;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;Totalt i retning Fylkeshuset;5588;100;24;24;0;0;100;5260;328;69;142;106;11;11;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;Totalt i retning Langnestunnelen;5406;100;24;24;0;0;100;4940;466;207;122;129;8;8;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;Totalt;10994;100;24;24;0;0;100;10200;794;276;264;235;19;19;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;1;3447;100;24;24;0;0;100;3276;171;50;46;75;0;0;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;2;3394;100;24;24;0;0;100;3178;216;79;52;85;0;0;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;Totalt i retning Fylkeshuset;3447;100;24;24;0;0;100;3276;171;50;46;75;0;0;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;Totalt i retning Langnestunnelen;3394;100;24;24;0;0;100;3178;216;79;52;85;0;0;0
71291V1125935;Sentrumstangenten;FV862 S1D10 m791;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;Totalt;6841;100;24;24;0;0;100;6454;387;129;98;160;0;0;0
